status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angries,num_thankfuls
115634898452178_1346351472047175,"75 aastat tagasi, 1941. aasta juunis küüditati Eestist Siberi avarustesse umbes 10 000 inimest, kellest paljud ei näinud oma kodumaad enam kunagi.",Fotod: Tartus mälestati 75 aasta möödumist juuniküüditamisest,link,http://tartu.postimees.ee/3732341/fotod-tartus-malestati-75-aasta-moodumist-juunikuuditamisest?utm_source=pm_fb&utm_medium=wallpost&utm_content=3732341&utm_campaign=fb_post,2016-06-14 10:30:00,1,0,1,1,0,0,0,0,0,0
115634898452178_1346237795391876,"Hispaanias sai surma 34-aastane mees, kelle leivanumbriks oli «pullipõiklemine» ehk ründavate härgade eest viimasel hetkel kõrvale hüppamine. Lisatud video.",Hispaanias hukkus sarvega südamesse saanud härjavõitleja,link,http://maailm.postimees.ee/3732099/hispaanias-hukkus-sarvega-sudamesse-saanud-harjavoitleja?utm_source=pm_fb&utm_medium=wallpost&utm_content=3732099&utm_campaign=fb_post,2016-06-14 10:15:00,8,4,1,5,0,0,3,0,0,0
115634898452178_1331203600228629,Vahvat õhtut!,"Neiu, kas te ütleksite oma aadressi?",link,http://meeldib.postimees.ee/2016/05/neiu-kas-te-utleksite-oma-aadressi/?utm_source=pm_fb&utm_medium=wallpost&utm_campaign=meeldib,2016-06-14 10:10:00,9,0,2,7,0,0,2,0,0,0
115634898452178_1346350225380633,"Valitsuse kõige suurema võlakoormusega ministrid on peaminister Taavi Rõivas ning sotsiaalkaitseminister Margus Tsahkna, selgub ministrite huvide deklaratsioonidest.",Ministritest on kõige suurem laenukoormus Rõivasel ja Tsahknal,link,http://www.postimees.ee/3732333/ministritest-on-koige-suurem-laenukoormus-roivasel-ja-tsahknal?utm_source=pm_fb&utm_medium=wallpost&utm_content=3732333&utm_campaign=fb_post,2016-06-14 10:00:00,1,4,1,0,1,0,0,0,0,0
115634898452178_1346349998713989,"Tänapäeval on nii palju erinevaid variante, kus ja kuidas šopata. Tahad, ostad kiirmoeketis, vintage asjade poest, kaltsukatest või internetist. Millist tüüpi šoppajad on olemas? Milline oled sina?",Šoppaja välimääraja,link,http://naine24.postimees.ee/3732277/soppaja-valimaaraja?utm_source=pm_fb&utm_medium=wallpost&utm_content=3732277&utm_campaign=fb_post,2016-06-14 09:45:00,0,0,0,0,0,0,0,0,0,0
115634898452178_1346383045377351,Saaremaa Laevakompanii omanik Vjatšeslav Leedo plaanib seoses parvlaevahankega esitada Eesti riigi vastu kaebuse Euroopa Komisjonile ja nõuda seeläbi riigilt 97-98 miljonit eurot kahjutasu.,Leedo tahab seoses praamihankega nõuda riigilt 100 miljonit kahjutasu,link,http://majandus24.postimees.ee/3732485/leedo-tahab-seoses-praamihankega-nouda-riigilt-100-miljonit-kahjutasu?utm_source=pm_fb&utm_medium=wallpost&utm_content=3732485&utm_campaign=fb_post,2016-06-14 09:31:11,4,1,2,4,0,0,0,0,0,0
115634898452178_1346307718718217,"«Tahtsin paluda, et te uuriksite võimalusel ERR-ilt, miks internetist vaadates nende lehti avades alati hääl vaikimisi põhjas on? Probleem puudutab ETV-d, ETV2-e, ETV+-i,» kirjutas lugeja.",Lugeja küsib: miks on internetis ETV-d vaadates hääl vaikimisi põhjas?,link,http://tarbija24.postimees.ee/3732227/lugeja-kusib-miks-on-internetis-etv-d-vaadates-haal-vaikimisi-pohjas?utm_source=pm_fb&utm_medium=wallpost&utm_content=3732227&utm_campaign=fb_post,2016-06-14 09:15:00,3,1,1,3,0,0,0,0,0,0
115634898452178_1346237588725230,Rebasekutsikas jäi Londoni põhjaosas ühe pere tagaaeda lõksu ning ainsaks võimaluseks tundus olevat mööda mänguväljaku liuvälja üles ronida.,Video: rebane jäi tagaaeda lõksu,link,http://lemmik.postimees.ee/3732069/video-rebane-jai-tagaaeda-loksu?utm_source=pm_fb&utm_medium=wallpost&utm_content=3732069&utm_campaign=fb_post,2016-06-14 09:00:00,4,0,0,4,0,0,0,0,0,0
115634898452178_1346307515384904,Ursel Veimann oli juba vahele jäänud katsega toimetada Eestisse rekordilist kogust uimastite lähteainet ja selle eest kohtus kümne aastase vangistuse saanud. Täna mõistis Harju maakohus Veimanni süüdi talle uimasteid keetnud kaaslase tapmiskatses.,Narkojoobes narkoärikas üritas võlglasest kuriteokaaslast maha lasta,link,http://www.postimees.ee/3732123/narkojoobes-narkoarikas-uritas-volglasest-kuriteokaaslast-maha-lasta?utm_source=pm_fb&utm_medium=wallpost&utm_content=3732123&utm_campaign=fb_post,2016-06-14 08:45:00,7,2,1,7,0,0,0,0,0,0
115634898452178_1346237485391907,"Miks on see nii, et mõned sõprussuhted kestavad terve elu ja teised mitte? Sõbrad võivad põhjustada palju rõõmu või südamevalu, aga kindlasti jätavad nad su ellu kustumatu jälje.","12 karmi tõde sõpruse kohta, mida 20ndates õppida",link,http://naine24.postimees.ee/3731907/12-karmi-tode-sopruse-kohta-mida-20ndates-oppida?utm_source=pm_fb&utm_medium=wallpost&utm_content=3731907&utm_campaign=fb_post,2016-06-14 08:30:00,18,0,10,18,0,0,0,0,0,0
